Month,Multi-CNN-LSTM-Conservative (EURUSD),Multi-CNN-LSTM-Moderate (EURUSD),Multi-CNN-LSTM-Aggressive (EURUSD),Multi-CNN-LSTM-Conservative (GBPUSD),Multi-CNN-LSTM-Moderate (GBPUSD),Multi-CNN-LSTM-Aggressive (GBPUSD),Multi-CNN-LSTM-Conservative (USDJPY),Multi-CNN-LSTM-Moderate (USDJPY),Multi-CNN-LSTM-Aggressive (USDJPY),Single-CNN-LSTM-Conservative (EURUSD),Single-CNN-LSTM-Moderate (EURUSD),Single-CNN-LSTM-Aggressive (EURUSD),Single-CNN-LSTM-Conservative (GBPUSD),Single-CNN-LSTM-Moderate (GBPUSD),Single-CNN-LSTM-Aggressive (GBPUSD),Single-CNN-LSTM-Conservative (USDJPY),Single-CNN-LSTM-Moderate (USDJPY),Single-CNN-LSTM-Aggressive (USDJPY),Buy & Hold (EURUSD),RSI-based Trading (EURUSD),MACD-based Trading (EURUSD),Buy & Hold (GBPUSD),RSI-based Trading (GBPUSD),MACD-based Trading (GBPUSD),Buy & Hold (USDJPY),RSI-based Trading (USDJPY),MACD-based Trading (USDJPY)
Jan 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2021,0.7779999999999928,0.9059999999999855,0.6460000000000764,0.49,0.5650000000000182,-0.68049999999992,-0.8346659999999793,-0.4648140000000422,-0.5381180000001222,0.3480000000000109,0.3229999999999564,-0.5154999999999018,0.4659999999999854,-0.26900000000003277,-0.13650000000001455,-0.8396640000000116,-0.725543000000016,-0.07497000000012122,-0.843000000000011,0.6750000000000365,-1.9010000000002036,0.39299999999999274,0.07300000000012005,2.5749999999999638,1.1487069999999948,-1.0645739999999204,1.493568999999934
Mar 2021,-0.5979999999999381,-0.9389999999999418,-0.791500000000069,-0.6199999999999454,-1.2819999999999525,-0.6529999999999382,-0.31654000000000454,-0.16076899999992747,-0.6026754999998047,-0.15799999999997452,-0.32199999999987994,-0.59100000000004,-0.9179999999999746,-1.7319999999998983,-1.5549999999998727,-1.109555999999993,-1.1087229999999364,0.1261995000000752,-0.5930000000000291,-1.3550000000000364,0.6969999999997345,2.086999999999989,-0.6780000000000654,2.103000000000102,1.521890999999996,-0.8296680000000923,0.38234699999999067
Apr 2021,-0.38599999999996726,-0.9480000000001019,0.8434999999999128,-1.2280000000000473,0.3989999999999782,0.22399999999992362,-0.5847659999999996,-0.3990070000000196,-0.23907099999993078,-0.27,-0.5020000000000254,-0.2949999999999454,0.06,0.16199999999991632,-0.04349999999987631,-0.9179659999999786,-0.645575000000008,-0.2973809999999685,-3.6910000000000034,0.20900000000003272,1.7250000000000911,-2.447000000000007,2.2579999999999925,-3.396999999999898,3.501098999999995,-1.401939000000002,-2.4082030000000123
May 2021,-0.2899999999999636,0.6639999999999601,0.2285000000000582,-0.2460000000000218,0.7580000000000655,0.34750000000009096,-0.2665600000000086,-0.26406099999992877,0.013744499999920662,-0.2920000000001528,-0.29500000000007276,-0.5970000000000618,3.027999999999938,2.4750000000000365,2.3839999999999963,-0.5081299999999647,0.238237999999983,0.15118949999990947,3.925,0.3770000000000437,-0.82300000000012,1.6519999999999893,1.9440000000001054,-2.394000000000087,-1.546880999999994,-0.13827800000000934,0.3523590000001059
Jun 2021,-0.39600000000002183,0.10600000000013096,0.14800000000010188,-1.7300000000000184,-0.6830000000000472,-0.62399999999996,-0.09496200000001408,-0.5297879999999168,-0.4331600000000435,-0.6259999999998945,0.42300000000012006,0.1564999999999054,0.39200000000011637,-0.08699999999993452,-0.43549999999986544,-0.528122000000003,-0.12245099999998274,0.035818999999901284,1.7460000000000038,-0.45100000000004,2.5480000000000476,3.735999999999985,-0.7030000000000292,2.9699999999998727,0.3923429999999826,0.23407299999998943,-1.8084430000000613
Jul 2021,-0.20199999999998908,0.2569999999999163,0.08700000000002547,-0.6779999999999927,-1.2639999999998508,-0.47399999999997816,-0.016660000000010767,0.5972610000000713,0.4764760000000933,-0.06799999999999272,1.8510000000000038,1.9394999999999527,-0.5319999999998617,0.3410000000001492,-1.8360000000000765,-0.1032919999999649,0.17826200000014067,0.34402899999997316,-3.295,-0.6189999999999781,0.1029999999998654,-3.7400000000000184,1.2440000000000875,-1.0419999999999527,0.961281999999992,0.06997199999992518,0.23990399999995132
Aug 2021,0.40799999999997455,-0.9720000000000254,-0.20650000000001456,-0.31600000000000367,-0.2829999999999927,-0.22950000000008003,0.5164600000000246,0.2399039999999877,0.14952350000010484,0.022000000000007274,0.6099999999999636,0.5750000000000728,-0.07200000000006185,1.2060000000001674,-0.16000000000005457,0.23657199999997827,0.6030919999999423,-0.04248300000001109,0.1819999999999891,0.301000000000131,-1.5259999999999492,0.8420000000000073,1.3900000000000727,-0.8520000000002073,-1.1728640000000088,-1.1845259999999143,3.2420359999998984
Sep 2021,0.12799999999995634,0.020999999999967257,0.2205000000000109,-0.1639999999999236,1.5410000000000945,0.5134999999999309,-0.8463280000000123,-0.8579899999999179,-0.49438550000004394,-0.26600000000002183,-0.28000000000009095,0.024499999999970892,0.3999999999999818,0.7960000000000401,0.7824999999998363,-0.49813400000002733,-0.5722709999999279,-0.9054709999999614,-0.6479999999999746,-0.8719999999999163,-1.7840000000000145,-1.3310000000000217,-2.05600000000004,2.261000000000022,0.17159799999999448,-0.37235099999990784,-1.8892440000001625
Oct 2021,-0.12600000000000364,-0.4090000000000328,-0.352999999999829,0.20599999999985813,-0.8760000000000582,-1.1754999999999383,-0.4664799999999741,-0.12328399999994871,-0.5343695000000479,-0.7760000000000218,-0.5209999999999673,-0.2730000000000473,-0.19599999999998546,-0.8680000000001927,-0.2635000000000036,-0.40650399999998627,0.072471000000005,0.050812999999943716,-1.9929999999999928,-0.0640000000001237,-1.2470000000000254,-2.9609999999999856,-0.23099999999996726,0.9550000000000182,1.4185989999999946,-0.1532720000000154,0.7005529999997997
