Loop,Strategy,Return_Pct,Sharpe_Ratio,Win_Rate,Max_Drawdown,Total_Trades
1,Multi-CNN-LSTM-Conservative (EURUSD),0.31200000000006184,8.236697619949645,0.10714285714285714,0,84
1,Multi-CNN-LSTM-Moderate (EURUSD),0.38999999999999996,8.876511615156154,0.22935779816513763,0,109
1,Multi-CNN-LSTM-Aggressive (EURUSD),0.30750000000005456,4.57293585471171,0.36809815950920244,0,163
1,Multi-CNN-LSTM-Conservative (GBPUSD),-0.63,-13.766123292140648,0.012345679012345678,0,81
1,Multi-CNN-LSTM-Moderate (GBPUSD),-0.33000000000001817,-14.310729393652952,0.012195121951219513,0,82
1,Multi-CNN-LSTM-Aggressive (GBPUSD),-0.45999999999998176,-11.046194013712952,0.09,0,100
1,Multi-CNN-LSTM-Conservative (USDJPY),-0.7913500000000203,-18.779239268180117,0.012345679012345678,0,81
1,Multi-CNN-LSTM-Moderate (USDJPY),-0.4398240000000442,-18.823449714358926,0.023809523809523808,0,84
1,Multi-CNN-LSTM-Aggressive (USDJPY),0.31612350000001244,8.354492078907096,0.20353982300884957,0,113
1,Single-CNN-LSTM-Conservative (EURUSD),-0.23199999999991636,-6.549307740670134,0.06896551724137931,0,87
1,Single-CNN-LSTM-Moderate (EURUSD),-0.15899999999999637,-7.604629745840534,0.08888888888888889,0,90
1,Single-CNN-LSTM-Aggressive (EURUSD),-0.08499999999998181,-5.827069280085019,0.11458333333333333,0,96
1,Single-CNN-LSTM-Conservative (GBPUSD),-0.9220000000000074,-15.670474367746495,0.024096385542168676,0,83
1,Single-CNN-LSTM-Moderate (GBPUSD),-0.5690000000000328,-17.90545963468884,0.03409090909090909,0,88
1,Single-CNN-LSTM-Aggressive (GBPUSD),-0.2974999999999818,-14.277176792207008,0.05319148936170213,0,94
1,Single-CNN-LSTM-Conservative (USDJPY),-0.7913500000000203,-19.95433095662877,0.012345679012345678,0,81
1,Single-CNN-LSTM-Moderate (USDJPY),-0.26156200000006724,-10.2897413781323,0.03571428571428571,0,84
1,Single-CNN-LSTM-Aggressive (USDJPY),-0.046648000000004686,-2.8587011714483674,0.05813953488372093,0,86
1,Buy & Hold (EURUSD),-2.217000000000007,-3.594717417749682,0.0,0,1
1,RSI-based Trading (EURUSD),-2.288000000000011,-11.256284004264863,0.35428571428571426,0,175
1,MACD-based Trading (EURUSD),1.1229999999999927,2.542200477503454,0.5564738292011019,0,363
1,Buy & Hold (GBPUSD),-1.1679999999999926,-1.5394407169533673,0.0,0,1
1,RSI-based Trading (GBPUSD),0.11500000000009095,0.782369775607009,0.31724137931034485,0,145
1,MACD-based Trading (GBPUSD),-0.7360000000001128,-1.2690974212577901,0.5054347826086957,0,368
1,Buy & Hold (USDJPY),0.2932160000000113,0.5892159189903504,1.0,0,1
1,RSI-based Trading (USDJPY),-1.8159399999999732,-11.679529436286328,0.3,0,160
1,MACD-based Trading (USDJPY),-0.14827400000003765,-0.3677215543261181,0.5084269662921348,0,356
2,Multi-CNN-LSTM-Conservative (EURUSD),1.4219999999999708,5.336284536764577,0.06060606060606061,0,66
2,Multi-CNN-LSTM-Moderate (EURUSD),0.7110000000000036,5.263847080893093,0.05970149253731343,0,67
2,Multi-CNN-LSTM-Aggressive (EURUSD),0.3554999999999927,5.246901242189093,0.05970149253731343,0,67
2,Multi-CNN-LSTM-Conservative (GBPUSD),0.06400000000001456,0.4519890842617169,0.030303030303030304,0,66
2,Multi-CNN-LSTM-Moderate (GBPUSD),0.06800000000001091,0.8333443687852979,0.04477611940298507,0,67
2,Multi-CNN-LSTM-Aggressive (GBPUSD),-0.14799999999999272,-3.0696932776459382,0.08108108108108109,0,74
2,Multi-CNN-LSTM-Conservative (USDJPY),-0.5047979999999734,-16.6970810417376,0.03076923076923077,0,65
2,Multi-CNN-LSTM-Moderate (USDJPY),-0.2865519999999742,-15.637067732384978,0.029850746268656716,0,67
2,Multi-CNN-LSTM-Aggressive (USDJPY),-0.11537049999999,-9.365223830408711,0.09210526315789473,0,76
