Strategy,Total_Return_Pct,Avg_Sharpe_Ratio,Avg_Win_Rate,Avg_Max_Drawdown,Total_Trades,Loops_Evaluated,Std_Return_Pct,Best_Monthly_Return,Worst_Monthly_Return
MACD-based Trading,4.501000000000312,0.44933196024412125,0.5295601427447199,0.0,4286,12,2.5941295411734613,6.461999999999988,-3.914000000000069
Multi-CNN-LSTM-Aggressive,-0.42749999999987276,-1.984843074639319,0.09105425246380956,0.0,935,12,0.28767937339162775,0.5839999999999963,-0.45999999999998176
Multi-CNN-LSTM-Moderate,-0.9030000000000472,-2.989100984511366,0.05239267501552931,0.0,849,12,0.4437627228223021,1.1679999999999564,-0.5940000000000509
Single-CNN-LSTM-Conservative,-0.9780000000001382,-2.2276080370975304,0.055395366249830345,0.0,855,12,1.0124176098165514,2.335999999999931,-1.1880000000000657
Multi-CNN-LSTM-Conservative,-1.1680000000000836,-1.7383861236408817,0.049493447123961636,0.0,838,12,0.8974387010945246,2.335999999999931,-1.1880000000000657
Single-CNN-LSTM-Moderate,-1.5080000000001017,-5.117803831358983,0.08108579210750425,0.0,915,12,0.4959585556161781,1.21399999999996,-0.5690000000000328
Single-CNN-LSTM-Aggressive,-2.461999999999953,-4.750707812756017,0.19663644546103834,0.0,1259,12,0.5907923116929955,0.7539999999999963,-1.2914999999999783
RSI-based Trading,-6.176000000000095,-0.4073569549377541,0.3842643573950468,0.0,1741,12,1.6889463842552352,2.7609999999999126,-4.428999999999996
Buy & Hold,-14.331000000000003,-1.1106774217611635,0.3333333333333333,0.0,12,12,3.376697181295157,4.948999999999996,-5.6969999999999885
