Month,Multi-CNN-LSTM-Conservative (EURUSD),Multi-CNN-LSTM-Moderate (EURUSD),Multi-CNN-LSTM-Aggressive (EURUSD),Multi-CNN-LSTM-Conservative (GBPUSD),Multi-CNN-LSTM-Moderate (GBPUSD),Multi-CNN-LSTM-Aggressive (GBPUSD),Multi-CNN-LSTM-Conservative (USDJPY),Multi-CNN-LSTM-Moderate (USDJPY),Multi-CNN-LSTM-Aggressive (USDJPY),Single-CNN-LSTM-Conservative (EURUSD),Single-CNN-LSTM-Moderate (EURUSD),Single-CNN-LSTM-Aggressive (EURUSD),Single-CNN-LSTM-Conservative (GBPUSD),Single-CNN-LSTM-Moderate (GBPUSD),Single-CNN-LSTM-Aggressive (GBPUSD),Single-CNN-LSTM-Conservative (USDJPY),Single-CNN-LSTM-Moderate (USDJPY),Single-CNN-LSTM-Aggressive (USDJPY),Buy & Hold (EURUSD),RSI-based Trading (EURUSD),MACD-based Trading (EURUSD),Buy & Hold (GBPUSD),RSI-based Trading (GBPUSD),MACD-based Trading (GBPUSD),Buy & Hold (USDJPY),RSI-based Trading (USDJPY),MACD-based Trading (USDJPY)
Jan 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2021,6.63638124619714,7.07766453303684,4.43311535490329,4.106674314735801,6.981600422600005,-5.340052746515279,-16.691444795702875,-7.049273087919817,-8.384754674714255,3.0687926443474516,2.4424263323898705,-3.7539060244234084,3.6753575804366037,-1.1412995377104531,-0.5372773877693892,-17.082535481718505,-10.148875142190505,-0.9033710580492021,-1.1401349819292577,3.955795245467041,-3.479003707533225,0.4290710130044808,0.3290890307729752,3.7927725033619546,2.848948707584311,-9.676337493143164,5.517380684887246
Mar 2021,-14.62739634569144,-10.826990525155074,-8.49081323191894,-8.423329482203291,-14.939252345380291,-5.2600099793392125,-4.720448358916023,-1.5422571303917183,-5.933836935793187,-6.310472957894813,-5.003890294380113,-6.989644165896562,-16.77516239794275,-11.08549444436299,-9.682799400179945,-11.737559213906994,-8.397870779342341,1.1246547839170964,-0.8941455619114449,-7.589498572855611,1.6331050709350716,2.245484465487606,-2.8560242468516863,3.242453786639773,3.5179231206866977,-7.919120467026448,1.2445496151319588
Apr 2021,-4.488573517644818,-8.918302034171594,6.832372918433488,-11.68576888956523,3.4694864350218793,1.3733373390497705,-7.6295634091652405,-5.238457253411678,-3.096388253463514,-2.9921622567552295,-3.731524712309619,-2.0691056201898226,0.38896368981547313,0.861188372606662,-0.19014730425223117,-12.370123793962172,-10.364132112427367,-3.914933650309672,-4.931344795075813,1.1853726453780489,3.4948416735955172,-2.1699764515289566,9.50093721042495,-4.108097624688636,6.930782524086651,-10.040338995812425,-6.552565845783225
May 2021,-4.374178415825702,7.180599228697456,2.632785489462786,-4.0001715727892,7.304374992763841,2.6833255604433712,-4.861410475968671,-2.700303479983188,0.14417122765491552,-3.7663930136740125,-2.6487116085421007,-5.057087057567228,19.039083841098826,18.55916086989,15.966705751048417,-6.812621737848999,1.761575823334803,1.1908010892970662,6.672945471295103,3.1128018417120695,-1.8338721952781587,1.9013709514295134,9.281496562014691,-3.7502543529874104,-3.099170502177252,-0.8701999977681183,1.0014824756016896
Jun 2021,-7.216982795218853,1.2024807411376541,1.431495871561775,-10.501295535125697,-3.7742566718747335,-3.3227333183555907,-2.3969528099777775,-8.548381161051894,-5.183798973235095,-8.563500457495815,3.4126358867571773,1.1249968094472995,2.590163623429467,-0.5690425383954276,-3.0186107323005618,-6.678707641846067,-1.1950207322180386,0.35169639431733624,2.6208675991655053,-2.8270809364719103,5.655005071866539,4.369260245483329,-3.391530059076671,5.324660185069704,0.8417197001448848,2.0645549179990526,-5.419873782987612
Jul 2021,-1.8573197951381706,1.3406083435877019,0.5398882095915862,-5.289492239597629,-6.609651123449102,-2.402403135745327,-0.09013733884986994,3.939622173175425,3.7554101786692637,-0.8515619876270014,11.770663355687057,11.060216089482905,-4.65174302864652,2.250565630373156,-8.821634998926402,-1.445829666219412,1.6267548117426134,3.504722636083059,-4.782339331268271,-3.8418627622192862,0.24675389854785698,-3.90676872344358,7.346511461494119,-1.4666095866597246,2.1966585341688725,0.4989476409597968,0.7842525790571608
Aug 2021,7.926701592374382,-8.619493750677597,-1.9372221095335163,-3.5013292792313764,-1.8490365517729856,-1.2401973478907053,7.421282121938344,1.7326238685938489,1.2583774708652875,0.3802206826584806,9.541224490493034,5.831799948657997,-0.8675518960590007,5.476865482533336,-0.6350413317580713,4.908964363346683,14.771063608470957,-0.8532654845403155,0.3273007264790374,2.6575607786993976,-3.4368277435479726,0.898818056879047,7.711726086083947,-1.140244611838221,-2.480309135880412,-8.630960935031704,10.62058450228696
Sep 2021,1.9342270891790294,0.2820651653948714,2.802043607432877,-3.0403447089538584,13.506913381951206,4.374052921307796,-19.06265315525926,-9.60221259236199,-5.9032372976902705,-4.0554204954366595,-2.619714076594104,0.23860686664872588,2.8856540196360987,5.177476826571651,5.496430157790909,-9.510756280831252,-7.106200259705069,-11.54970353848562,-1.2288467427934655,-7.2676436255431955,-4.9601252560265685,-1.8991498323429303,-10.092175100717096,5.076146950536479,0.3985663829183863,-3.6829550777059965,-5.551924622948357
Oct 2021,-2.3998308482590502,-4.257122506114723,-3.615151569397299,1.4078631581298218,-5.743617123138768,-8.546002789343463,-10.70388637726421,-1.3994869453778407,-5.884620826530035,-15.64329978405925,-4.110234755500228,-2.2864028503120433,-1.8447917797759967,-4.508540485451659,-1.4473684039692378,-8.49196314619413,1.5557227700463567,0.7690303367475999,-4.165324932584433,-0.5632268267107816,-3.4008992713322512,-3.69859521153891,-0.9240372441218033,1.7092719939998473,3.5163968466181377,-1.2854689947537057,2.511609842247834
