Strategy,Total_Return_Pct,Avg_Sharpe_Ratio,Avg_Win_Rate,Avg_Max_Drawdown,Total_Trades,Loops_Evaluated,Std_Return_Pct,Best_Monthly_Return,Worst_Monthly_Return
Multi-CNN-LSTM-Conservative,3.0420000000001526,1.6445546235921837,0.05895082943663329,0.0,846,12,0.6810370156362016,1.4480000000000655,-0.9700000000000183
Multi-CNN-LSTM-Moderate,2.140000000000036,2.4543053503991246,0.07453659704378952,0.0,883,12,0.3930691909688372,1.002000000000062,-0.42100000000000365
Single-CNN-LSTM-Conservative,1.9140000000002326,0.17688557811723352,0.05499115180307712,0.0,855,12,0.7355714898408304,1.4480000000000655,-0.9100000000000182
RSI-based Trading,1.343000000000211,0.9147906849562638,0.3835252801416562,0.0,1777,12,1.5325844434774236,2.5600000000000547,-2.288000000000011
Multi-CNN-LSTM-Aggressive,1.2390000000001418,0.10854734669287236,0.11960049625818854,0.0,1027,12,0.2869617788138516,0.8530000000000837,-0.2444999999999709
Single-CNN-LSTM-Moderate,1.1310000000001308,-0.7087387709706284,0.06564959125306337,0.0,881,12,0.3795354891179539,0.7650000000000182,-0.455
Single-CNN-LSTM-Aggressive,0.7345000000000802,-0.23084533688735273,0.12199305909261092,0.0,990,12,0.2379403337615399,0.5459999999999855,-0.23049999999999274
MACD-based Trading,-5.107999999999592,-0.4123227506795926,0.5167248492425583,0.0,4204,12,3.4469666939047814,6.638999999999906,-6.973000000000047
Buy & Hold,-6.602000000000009,-0.7113700174610366,0.3333333333333333,0.0,12,12,2.673237264483311,4.575999999999985,-5.262999999999993
